AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
18.64,0.5,0.2,0.95,0.68,0.78,17,13,0.892,0.872,0.872,0,0.67,0,0.77,0.6,0.7,0.8,0.6,0.87,1,1,1,1,0,1
18.81,1,0.83,1,0.93,0.82,17,16,0.9282,0.813,0.872,0,0.9,0,0.6,0.9,0.9,0.9,0.6,0.9,1,1,1,1,0,1
19.37,0.35,0.07,0.95,0.6,0.68,17,13,0.87,0.93,0.87,2,0.87,0,0.7,0.84,0.74,0.67,0.64,0.64,1,1,1,0,1,1
19.19,0.92,0.93,0.92,0.98,0.92,18,13,0.932,0.929,0.87,0,0.9,0,0.7,0.87,0.9,0.9,0.9,0.9,1,1,1,1,1,1
20.77,0.5,0.38,0.9,0.95,0.75,17,13,0.85,0.81,0.87,2,0.67,2,0.74,0.77,0.84,0.77,0.87,0.87,1,1,1,0,1,1
19.05,0.75,0.8,1,1,1,18,16,0.933,0.931,0.868,0,0.9,0,0.77,0.9,0.9,0.9,0.9,0.9,1,1,1,1,0,0
20.22,0.4,0.2,0.4,0.55,0.6,18,13,0.922,0.798,0.867,0,0.64,0,0.74,0.64,0.6,0.7,0.7,0.64,1,1,1,1,0,0
18.98,0.63,0.27,1,0.6,0.69,17,13,0.912,0.896,0.866,0,0.67,0,0.8,0.74,0.79,0.77,0.6,0.9,1,1,1,1,0,1
17.55,0.8,0.87,1,0.68,0.77,17,13,0.927,0.867,0.865,0,0.9,0,0.9,0.8,0.9,0.8,0.85,0.85,1,1,0,1,0,1
19.06,0.77,0.75,0.95,0.9,0.88,18,13,0.926,0.896,0.863,0,0.8,0,0.87,0.8,0.9,0.9,0.87,0.87,1,1,1,0,1,1
18.94,0.83,0.2,1,0.6,0.85,17,13,0.921,0.932,0.86,0,0.9,0,0.84,0.84,0.72,0.9,0.8,0.84,1,1,1,1,1,1
19.76,0.53,0.4,0,0.5,0.6,17,13,0.926,0.922,0.86,0,0.67,0,0.6,0.67,0.84,0.84,0.64,0.9,1,1,1,1,0,0
18.6,0,0.57,0,0.28,0.08,18,13,0.93,0.92,0.86,0,0.6,0,0,0.67,0.74,0.3525,0.3525,0,1,1,1,1,0,0
18.88,0.63,0.6,0.95,0.85,0.84,17,13,0.851,0.79,0.86,0,0.8,0,0.8,0.77,0.6,0.9,0.6,0.9,1,1,0,0,0,1
18.29,0.7,0.73,0.9175,0.68,0.78,17,10,0.858,0.76,0.86,0,0.74,0,0.7,0.8,0.8,0.9,0.6,0.7,1,1,1,0,0,1
24.27,0.64,0.93,0.65,0.83,0.67,18,12,0.874,0.983,0.857,0,0.74,0,0.77,0.88,0.99,0.9,0.86,0.88,0,1,1,1,0,0
19.57,0.6,0.4,0.3,0.55,0.64,17,13,0.913,0.899,0.848,0,0.6,0,0.77,0.64,0.77,0.77,0.67,0.77,1,1,1,1,0,0
